Epoch 1: train loss 0.0034408692736178637, accuracy 0.988197911938266
Epoch 2: train loss 0.0007038363255560398, accuracy 0.9961416250567408
Epoch 3: train loss 0.000601775071118027, accuracy 0.9968225147526101
Epoch 4: train loss 0.00044858301407657564, accuracy 0.9977303676804358
Epoch 5: train loss 0.0005164691829122603, accuracy 0.9988651838402178
Epoch 6: train loss 0.00014150752394925803, accuracy 0.9995460735360872
Epoch 7: train loss 0.0010447775712236762, accuracy 0.9981842941443486
Epoch 8: train loss 0.0005412592436186969, accuracy 0.9981842941443486
Epoch 9: train loss 0.00044495274778455496, accuracy 0.9970494779845664
Epoch 10: train loss 0.0006045837653800845, accuracy 0.998411257376305
Epoch 1: train loss 0.003756079124286771, accuracy 0.9868361325465275
Epoch 2: train loss 0.0010122000239789486, accuracy 0.9954607353608715
Epoch 3: train loss 0.0004992801696062088, accuracy 0.9975034044484793
Epoch 4: train loss 0.0003143063804600388, accuracy 0.9990921470721743
Epoch 5: train loss 0.00021681157522834837, accuracy 0.9988651838402178
Epoch 6: train loss 0.00024406303418800235, accuracy 0.9986382206082615
Epoch 7: train loss 0.000399193842895329, accuracy 0.998411257376305
Epoch 8: train loss 0.000645739957690239, accuracy 0.9977303676804358
Epoch 9: train loss 0.00026290593086741865, accuracy 0.9990921470721743
Epoch 10: train loss 0.00018252259178552777, accuracy 0.9990921470721743
Epoch 1: train loss 0.003669904312118888, accuracy 0.9895596913300045
Epoch 2: train loss 0.001210948103107512, accuracy 0.994098955969133
Epoch 3: train loss 0.0005775734898634255, accuracy 0.9979573309123921
Epoch 4: train loss 0.00048331983271054924, accuracy 0.9975034044484793
Epoch 5: train loss 0.00030081247678026557, accuracy 0.9988651838402178
Epoch 6: train loss 0.00010435682634124532, accuracy 0.9997730367680435
Epoch 7: train loss 7.683430158067495e-05, accuracy 1.0
Epoch 8: train loss 0.00017344906518701464, accuracy 0.9995460735360872
Epoch 9: train loss 0.0003888005740009248, accuracy 0.9979573309123921
Epoch 10: train loss 0.0007187578012235463, accuracy 0.9993191103041307
Epoch 1: train loss 0.003752782242372632, accuracy 0.9879709487063095
Epoch 2: train loss 0.0008031068136915565, accuracy 0.9961416250567408
Epoch 3: train loss 0.0007436126470565796, accuracy 0.9977303676804358
Epoch 4: train loss 0.0002051971387118101, accuracy 0.9993191103041307
Epoch 5: train loss 0.00013220107939559966, accuracy 0.9995460735360872
Epoch 6: train loss 0.00025895750150084496, accuracy 0.9990921470721743
Epoch 7: train loss 0.00011195929982932284, accuracy 1.0
Epoch 8: train loss 0.00011734230065485463, accuracy 0.9995460735360872
Epoch 9: train loss 0.00016684563888702542, accuracy 0.9990921470721743
Epoch 10: train loss 0.00019916276505682617, accuracy 0.9990921470721743
Epoch 1: train loss 0.0035856030881404877, accuracy 0.9886518384021789
Epoch 2: train loss 0.0011843268293887377, accuracy 0.9945528824330458
Epoch 3: train loss 0.0005176856066100299, accuracy 0.998411257376305
Epoch 4: train loss 0.00033075426472350955, accuracy 0.9986382206082615
Epoch 5: train loss 0.0006882555899210274, accuracy 0.9975034044484793
Epoch 6: train loss 0.0001426723611075431, accuracy 0.9995460735360872
Epoch 7: train loss 7.473693403881043e-05, accuracy 0.9997730367680435
Epoch 8: train loss 0.00019077598699368536, accuracy 0.9995460735360872
Epoch 9: train loss 0.00025236091460101306, accuracy 0.9990921470721743
Epoch 10: train loss 0.0001565547863719985, accuracy 0.9997730367680435
Epoch 1: train loss 0.003914315719157457, accuracy 0.9870630957784838
Epoch 2: train loss 0.0012471548980101943, accuracy 0.9954607353608715
Epoch 3: train loss 0.0008322299690917134, accuracy 0.9968225147526101
Epoch 4: train loss 0.0006711314781568944, accuracy 0.9970494779845664
Epoch 5: train loss 0.0002930750197265297, accuracy 0.9993191103041307
Epoch 6: train loss 0.00042467520688660443, accuracy 0.998411257376305
Epoch 7: train loss 0.00017605374159757048, accuracy 0.9993191103041307
Epoch 8: train loss 0.00029050809098407626, accuracy 0.9988651838402178
Epoch 9: train loss 0.00010277562978444621, accuracy 0.9997730367680435
Epoch 10: train loss 7.25231584510766e-05, accuracy 0.9997730367680435
Epoch 1: train loss 0.0038966939318925142, accuracy 0.9868361325465275
Epoch 2: train loss 0.0006084431079216301, accuracy 0.9972764412165229
Epoch 3: train loss 0.0008721292833797634, accuracy 0.9972764412165229
Epoch 4: train loss 0.00025471978005953133, accuracy 0.9990921470721743
Epoch 5: train loss 0.00029863984673283994, accuracy 0.998411257376305
Epoch 6: train loss 0.0002700340992305428, accuracy 0.9990921470721743
Epoch 7: train loss 0.00018611607083585113, accuracy 0.9988651838402178
Epoch 8: train loss 7.133967301342636e-05, accuracy 1.0
Epoch 9: train loss 0.00015266542322933674, accuracy 0.9988651838402178
Epoch 10: train loss 0.0007143285474739969, accuracy 0.9990921470721743
Epoch 1: train loss 0.003744149813428521, accuracy 0.9888788016341352
Epoch 2: train loss 0.0008908471208997071, accuracy 0.9961416250567408
Epoch 3: train loss 0.0005176497506909072, accuracy 0.9979573309123921
Epoch 4: train loss 0.0004454483278095722, accuracy 0.998411257376305
Epoch 5: train loss 0.0001812808186514303, accuracy 0.9995460735360872
Epoch 6: train loss 7.270792411873117e-05, accuracy 1.0
Epoch 7: train loss 0.0011230097152292728, accuracy 0.9952337721289151
Epoch 8: train loss 0.00039897538954392076, accuracy 0.9979573309123921
Epoch 9: train loss 0.000863423862028867, accuracy 0.998411257376305
Epoch 10: train loss 0.0008334441226907074, accuracy 0.9963685882886972
