Epoch 1: train loss 0.0006526652723550797, accuracy 0.67
Epoch 2: train loss 0.00029014944448135793, accuracy 0.862
Epoch 3: train loss 0.00017542946443427354, accuracy 0.912
Epoch 4: train loss 0.00018746170098893344, accuracy 0.908
Epoch 5: train loss 0.0001225710439030081, accuracy 0.956
Epoch 6: train loss 8.235865971073508e-05, accuracy 0.972
Epoch 7: train loss 8.680328755872324e-05, accuracy 0.972
Epoch 8: train loss 6.853812374174595e-05, accuracy 0.962
Epoch 9: train loss 4.6044267946854234e-05, accuracy 0.982
Epoch 10: train loss 4.734895992442034e-05, accuracy 0.996
Epoch 1: train loss 0.00028858051518909633, accuracy 0.848
Epoch 2: train loss 0.00016598233196418732, accuracy 0.922
Epoch 3: train loss 0.00010449867113493383, accuracy 0.954
Epoch 4: train loss 5.7911649491870776e-05, accuracy 0.984
Epoch 5: train loss 0.00012472289381548762, accuracy 0.938
Epoch 6: train loss 0.00013952128938399255, accuracy 0.918
Epoch 7: train loss 6.389002373907715e-05, accuracy 0.974
Epoch 8: train loss 3.105523137492128e-05, accuracy 1.0
Epoch 9: train loss 2.5409419322386384e-05, accuracy 0.992
Epoch 10: train loss 2.1209372789599e-05, accuracy 0.994
Epoch 1: train loss 0.00015513450489379466, accuracy 0.938
Epoch 2: train loss 0.00014167722838465124, accuracy 0.926
Epoch 3: train loss 7.936304609756917e-05, accuracy 0.964
Epoch 4: train loss 5.4857962823007256e-05, accuracy 0.99
Epoch 5: train loss 5.375299951992929e-05, accuracy 0.978
Epoch 6: train loss 3.927653961000033e-05, accuracy 0.986
Epoch 7: train loss 5.307600804371759e-05, accuracy 0.968
Epoch 8: train loss 0.00010797092545544729, accuracy 0.942
Epoch 9: train loss 6.014408063492738e-05, accuracy 0.974
Epoch 10: train loss 4.6819011913612485e-05, accuracy 0.986
Epoch 1: train loss 9.105890785576776e-05, accuracy 0.958
Epoch 2: train loss 5.036615766584873e-05, accuracy 0.984
Epoch 3: train loss 5.1614679250633344e-05, accuracy 0.97
Epoch 4: train loss 6.530578684760258e-05, accuracy 0.976
Epoch 5: train loss 9.024538303492591e-05, accuracy 0.952
Epoch 6: train loss 4.530884325504303e-05, accuracy 0.974
Epoch 7: train loss 4.026896203868091e-05, accuracy 0.984
Epoch 8: train loss 6.146671512397006e-05, accuracy 0.966
Epoch 9: train loss 2.9312570404727012e-05, accuracy 0.986
Epoch 10: train loss 2.2418698790716007e-05, accuracy 0.99
Epoch 1: train loss 4.983670078217983e-05, accuracy 0.972
Epoch 2: train loss 7.148337317630649e-05, accuracy 0.97
Epoch 3: train loss 5.843122926307842e-05, accuracy 0.972
Epoch 4: train loss 4.430842454894446e-05, accuracy 0.98
Epoch 5: train loss 8.03826333140023e-05, accuracy 0.976
Epoch 6: train loss 7.126435230020434e-05, accuracy 0.966
Epoch 7: train loss 3.27613961417228e-05, accuracy 0.982
